,tahun,bulan,jenis,kode_trayek,trayek,jumlah_penumpang,kategory_penumpang
204,2021,8,BRT,1,Blok M - Kota,462959,sedang penumpang (brt)
205,2021,8,Angkutan Umum Integrasi,9H,Cipedak - Blok M,11808,sepi penumpang (Angkutan Umum Integrasi)
206,2021,8,Angkutan Umum Integrasi,9E,Kebayoran Lama - Jelambar,10317,sepi penumpang (Angkutan Umum Integrasi)
207,2021,8,Angkutan Umum Integrasi,9D,Pasar Minggu - Tanah Abang,57029,sepi penumpang (Angkutan Umum Integrasi)
208,2021,8,Angkutan Umum Integrasi,8K,Batu Sari-Tanah Abang,5714,sepi penumpang (Angkutan Umum Integrasi)
209,2021,8,Angkutan Umum Integrasi,8E,Bintaro - Blok M,12951,sepi penumpang (Angkutan Umum Integrasi)
210,2021,8,Angkutan Umum Integrasi,8D,Joglo - Blok M,16723,sepi penumpang (Angkutan Umum Integrasi)
211,2021,8,Angkutan Umum Integrasi,8C,Kebayoran Lama - Tanah Abang,0,sepi penumpang (Angkutan Umum Integrasi)
212,2021,8,Angkutan Umum Integrasi,7P,Pondok Kelapa - BKN,16352,sepi penumpang (Angkutan Umum Integrasi)
213,2021,8,Angkutan Umum Integrasi,7D,Pancoran - TMII,11908,sepi penumpang (Angkutan Umum Integrasi)
214,2021,8,Angkutan Umum Integrasi,7B,Kampung Rambutan - Blok M,46807,sepi penumpang (Angkutan Umum Integrasi)
215,2021,8,Angkutan Umum Integrasi,7A,Kampung Rambutan - Lebak Bulus,46292,sepi penumpang (Angkutan Umum Integrasi)
216,2021,8,Angkutan Umum Integrasi,6R,Ragunan - Stasin MRT Fatmawati,0,sepi penumpang (Angkutan Umum Integrasi)
217,2021,8,Angkutan Umum Integrasi,6N,Ragunan - Blok M via Kemang,16390,sepi penumpang (Angkutan Umum Integrasi)
218,2021,8,Angkutan Umum Integrasi,6M,Stasiun Manggarai - Blok  M,13300,sepi penumpang (Angkutan Umum Integrasi)
219,2021,8,Angkutan Umum Integrasi,6H,Senen - Lebak Bulus,11982,sepi penumpang (Angkutan Umum Integrasi)
220,2021,8,Angkutan Umum Integrasi,6C,Stasin Tebet - Karet via Patra Kuningan,48241,sepi penumpang (Angkutan Umum Integrasi)
221,2021,8,Angkutan Umum Integrasi,5M,Kampung Melayu - Tanah Abang via Cikini,53175,sepi penumpang (Angkutan Umum Integrasi)
